gene	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
FUN_016534	8.29640544993256	8.22942209892298	8.9479444797274	8.63772682504645	8.54384139065348	8.52345969095544	8.53824067832806	8.55340371114159	8.33570398900924	8.3354043663511
FUN_006175	7.41999746147654	7.64433158570891	7.76340872578809	7.59427951264992	8.07281568797274	7.94932012167494	7.58903227154573	8.0701108710839	7.79089801988382	7.85347888708867
FUN_006296	14.2033929484253	13.9232823689746	14.6657384266964	14.3154206899813	13.6481172673418	13.6751135259618	13.9655669307805	13.6239926534808	13.5949115573338	13.4100488311471
FUN_017198	4.00600742080192	5.02670111374851	5.55082325776549	4.42666881439207	5.83230268023982	5.11307523456519	4.40342838274826	5.37821862413696	4.95135104497698	4.93103358245936
FUN_000984	3.3276956985336	3.52764440601636	0	4.03382089322779	2.42272508405968	3.57291577088295	2.94874763465223	2.69248241814978	2.87787781874418	2.75978745704962
FUN_010768	3.3276956985336	3.23665646628527	0	0	2.42272508405968	3.19773354918572	3.14419592411251	3.26103045098087	3.45675895338434	3.97756676473137
FUN_011993	3.52941297888766	3.52764440601636	1.85661548286157	3.64784838122913	3.38551780200348	4.03931140906297	3.73567814733983	3.13849794223208	3.33233568264059	3.12056530016343
FUN_013603	5.15597405627569	3.87699468856577	5.18551781971723	2.88910980570219	4.76399422927911	4.03931140906297	1.69611039836999	4.60988514048343	4.45065184407864	4.99046229001002
FUN_016607	10.6132707655868	10.8129095284516	10.7814202430505	11.2188922267885	10.9335624253825	11.0635078322421	10.7409949261435	10.9037526425155	10.8582187952163	10.9142443090224
FUN_016784	10.4704376537863	10.5403747927783	10.453506737997	10.1257964957283	10.5160875332612	10.6550075398715	10.7258074507206	10.6108170136543	10.6161978561332	10.5594025633547
FUN_017025	9.27318319019524	9.38762822877669	9.42044432703861	9.14189157216519	9.53344052530935	9.36931680006948	9.24553090407944	9.53942570226517	9.39113705251803	9.6244854839359
FUN_015273	4.81353361642433	3.06571217259188	4.06431581197605	0	3.95786153602846	3.57291577088295	4.32497081846604	4.30265263669511	4.61989667925163	4.38437146655563
FUN_017023	8.60630339324344	7.73983648897776	7.96606819603951	8.04993041881527	7.57546014204861	7.68214512335476	7.58903227154573	7.69947386518044	7.47501850671101	7.59568381910098
FUN_017095	8.30330290729404	7.73983648897776	8.00339495426661	8.04993041881527	8.11503917756295	8.13325625081968	7.78493356088146	8.1356468674139	7.93156688358186	8.00525829561188
FUN_016528	12.801329610138	11.6503753247555	11.6629228912748	11.2480730106209	8.92232562278161	10.1731850621261	11.9941400843123	7.09619414802372	7.29503688950192	9.27908348935254
FUN_016613	12.4292590592024	11.1301081344234	10.8048659951897	10.6986940897028	8.43895148407104	9.38115677849218	11.54244597176	6.71177985138414	6.84940196409135	8.89574921142156
