gene_id,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_012833,18,66,44,40,167,141,84,177,168,187
FUN_013324,9,53,37,41,109,75,52,98,69,95
FUN_013573,41,49,33,57,77,54,56,78,56,43
FUN_015277,3,5,0,2,5,2,3,2,3,0
FUN_015433,15,28,11,17,20,16,11,38,17,47
FUN_016437,50,99,96,88,87,86,135,98,115,123
FUN_016518,7,13,9,7,11,7,11,8,9,9
FUN_016622,0,0,0,0,0,0,0,0,0,0
FUN_016586,12,5,7,14,9,15,8,9,5,9
FUN_016658,40,43,80,52,51,63,71,18,43,81
FUN_009953,283,348,406,376,628,467,418,546,466,604
FUN_010180,510,668,549,530,1072,794,543,831,548,1206
FUN_010297,360,113,161,169,625,348,214,129,195,712
FUN_010364,2704,2565,2473,2664,5049,3289,3137,2848,2765,5111
FUN_011011,1224,1492,1227,1336,2291,1299,1530,1172,1219,2463
FUN_011136,664,875,837,890,1513,915,991,1035,982,1760
FUN_011214,10,23,19,20,28,20,30,17,24,46
FUN_011349,3641,4096,3759,3877,9655,5702,4948,5108,4579,7705
FUN_011438,984,944,959,983,2196,1711,1135,1418,1405,2203
FUN_011584,856,972,900,934,1774,1054,1014,1192,1114,1975
FUN_011654,14,25,13,21,29,19,32,22,37,44
FUN_017121,14,51,33,23,39,44,26,55,332,216
FUN_017205,2,0,1,1,0,0,6,0,1,4
FUN_017228,4,10,10,10,11,14,6,3,5,10
FUN_030648,59,76,74,42,30,26,68,34,29,40
FUN_017544,3,2,2,0,2,0,0,1,0,0
FUN_030649,17,70,46,44,29,20,14,47,517,290
FUN_017926,37,41,40,31,20,16,43,20,18,33
FUN_020135,25,31,26,18,50,82,39,58,55,96
FUN_020180,14,20,14,5,9,8,9,23,30,26
FUN_018883,0,1,0,2,0,2,0,1,1,3
FUN_019733,0,0,0,0,24,24,8,22,32,27
FUN_018366,63,93,39,52,38,33,78,61,49,49
FUN_030650,28,54,36,42,89,67,44,86,85,147
FUN_019029,3,2,2,4,5,1,1,4,2,7
FUN_030651,66,88,27,58,90,42,69,65,55,134
FUN_019803,4,4,3,5,87,64,51,115,106,119
FUN_019960,29,26,13,14,42,33,28,35,55,33
FUN_020385,193,206,114,97,654,401,287,628,413,393
FUN_017757,11484,10979,18034,15918,8147,6814,12882,6186,6495,8901
FUN_020543,4,0,3,0,1,5,3,0,0,0
FUN_021021,2,11,2,2,3,7,2,1,15,9
FUN_021029,7,14,3,17,18,6,5,10,6,8
FUN_021073,0,13,4,3,8,13,3,4,7,5
FUN_021152,0,0,0,7,0,0,0,0,0,0
FUN_021341,79,94,55,103,118,61,59,79,65,121
FUN_021443,0,14,13,18,18,13,6,17,33,29
FUN_021508,7,0,13,0,6,5,9,15,0,0
FUN_021782,89,66,39,3,170,90,11,42,30,47
FUN_021846,0,0,0,0,0,0,0,0,0,0
FUN_021914,9,0,0,14,8,10,15,0,7,25
FUN_022116,122,153,162,174,274,202,186,346,273,297
FUN_022284,589,783,477,647,936,768,714,477,578,916
FUN_030655,26,28,12,7,0,10,34,9,12,36
FUN_024596,196,267,199,181,454,379,241,516,368,466
FUN_024739,0,5,0,0,0,0,0,0,0,0
FUN_024759,8,8,5,9,6,14,11,5,8,8
FUN_024122,0,3,0,0,1,2,1,2,2,0
FUN_024177,0,0,0,0,0,0,0,0,0,0
FUN_024360,0,0,4,2,0,3,1,7,3,6
FUN_024368,0,11,0,7,9,5,13,13,26,8
FUN_024404,0,2,0,0,0,0,0,3,3,2
FUN_030654,30,63,52,29,28,58,33,33,30,69
FUN_030652,102,176,124,120,80,70,81,48,43,107
FUN_030653,12,39,37,10,49,40,18,59,72,57
FUN_023995,1069,1073,948,905,1146,1096,804,1269,954,3792
FUN_024228,80,126,179,136,212,200,87,158,124,184
FUN_024997,13,133,47,78,232,143,39,149,117,185
FUN_025319,628,771,614,609,1650,1078,807,1511,1241,1643
FUN_025447,887,1049,712,640,1407,1084,963,1420,1415,1852
FUN_025481,491,555,509,438,906,631,620,818,694,1053
FUN_025520,882,932,849,782,3086,2657,1639,2831,2499,3497
FUN_025551,1535,1478,1778,1479,2507,1942,1391,2353,2135,2538
FUN_025738,5,15,7,10,12,0,6,0,15,10
FUN_025597,759,1206,658,853,1553,1316,1052,1463,1366,1905
FUN_025925,0,0,0,0,0,0,0,1,0,2
FUN_025934,9,0,11,18,26,25,16,20,16,19
FUN_026033,0,0,3,0,4,7,6,5,6,5
FUN_025770,3,4,0,4,4,13,5,0,0,7
FUN_025795,97,176,169,138,274,284,197,208,221,289
FUN_025811,187,219,217,201,488,373,269,467,345,499
FUN_026209,26,22,12,18,40,12,16,28,30,28
FUN_026322,603,996,845,833,1092,868,823,1048,955,1190
FUN_026364,219,355,247,275,420,318,245,362,310,440
FUN_026417,155,277,86,204,274,198,255,264,216,305
FUN_003850,577,683,722,710,908,786,729,961,744,955
FUN_004053,447,575,412,527,862,567,755,867,815,1166
FUN_004438,138,193,54,131,209,143,276,328,284,400
FUN_005398,218,465,266,277,593,472,311,390,374,668
FUN_009363,44,63,22,44,59,32,44,49,45,83
FUN_010801,12,25,28,23,18,28,19,24,17,25
FUN_010958,50,38,31,53,59,37,42,26,28,53
